,model_norm,brand_norm,location,payment_type,quarter,marital_status,state,compra_venta,removed_gps,removed_seguro,has_guarantor,fees_number,monthly_fee,cash_price,score,monthly_income,delinquent_4,max_arrears
model_norm,1.0,0.9435115522480207,0.22854509191524852,0.2015179574631243,0.2935911901398694,0.1308826370390769,0.1872631734988772,0.1280968980045822,0.13531465575960056,0.15825790453438146,0.07649507745323776,0.1579096948327935,0.28421941089565955,0.7686396116080202,0.18854018494061892,0.11102581848895546,0.15811597521247506,0.1829159287791205
brand_norm,0.9435115522480207,1.0,0.22185143745070127,0.07220406119759788,0.22345673848781925,0.03839593941664969,0.20506473481023207,0.012139099723722471,0.021906581192661725,0.0325625954683793,0.0,0.008752377551897911,0.0748499742535013,0.08730999805876971,0.06609022800262832,0.010583178610228384,0.05628409643032563,0.056241991922494426
location,0.22854509191524852,0.22185143745070127,1.0,0.3600195253186891,0.27937223027825453,0.07134445779808933,0.7390345268470973,0.14191713076039666,0.15948942718543022,0.18381311992359486,0.09930923606672451,0.38477290862501595,0.2912369502524832,0.21090316244508311,0.203846002273859,0.06736655415780499,0.21118767406683348,0.2521065195694426
payment_type,0.2015179574631243,0.07220406119759788,0.3600195253186891,1.0,0.35639236181163303,0.026291425931915666,0.43821805835880717,0.10706502220868044,0.12584563215981934,0.1653713870193088,0.014225171688078313,0.8145995144135204,0.7646766188602834,0.07267469091420395,0.07887065634017063,0.05366086353430562,0.1353582654856048,0.18439297559606926
quarter,0.2935911901398694,0.22345673848781925,0.27937223027825453,0.35639236181163303,1.0,0.14686823957623918,0.3133635865395039,0.18851952477836542,0.23061867965948316,0.3170054201710878,0.07503748695081319,0.04251710260048722,0.14794201700772663,0.19046970017808468,0.23938340733109223,0.10786984432744,0.23954234872260796,0.2609740862614565
marital_status,0.1308826370390769,0.03839593941664969,0.07134445779808933,0.026291425931915666,0.14686823957623918,1.0,0.2020123799814468,0.0,0.0,0.0,0.0,0.015583636662381314,0.010621969767897975,0.06537956780719258,0.020900806207060016,0.006150219884386696,0.003408224244040403,0.0010024773641247526
state,0.1872631734988772,0.20506473481023207,0.7390345268470973,0.43821805835880717,0.3133635865395039,0.2020123799814468,1.0,0.21151865633146455,0.1966099239226595,0.3200624956978842,0.08656229074876065,0.33745215417779717,0.2335538339460157,0.21868821170086314,0.13046332032719138,0.26400494169703553,0.16020838004801502,0.11357035063098168
compra_venta,0.1280968980045822,0.012139099723722471,0.14191713076039666,0.10706502220868044,0.18851952477836542,0.0,0.21151865633146455,1.0,0.8519718487640416,0.7469935349289082,0.0,0.020213640833850816,0.0180566643573471,0.05861572028326654,0.07190775250707143,0.004759278379040532,0.04731261465830387,0.04335897940120637
removed_gps,0.13531465575960056,0.021906581192661725,0.15948942718543022,0.12584563215981934,0.23061867965948316,0.0,0.1966099239226595,0.8519718487640416,1.0,0.7318507078320757,0.0,0.02321526902038214,0.0217776895129365,0.049790966513401876,0.07798695050667637,0.004969787960653595,0.051264068937359304,0.04314772184907863
removed_seguro,0.15825790453438146,0.0325625954683793,0.18381311992359486,0.1653713870193088,0.3170054201710878,0.0,0.3200624956978842,0.7469935349289082,0.7318507078320757,1.0,0.0,0.07303240067014348,0.02294778020198229,0.047248221574362786,0.09421922837563247,0.005944094007314591,0.09490965311302363,0.07224403180609609
