,model_norm,brand_norm,location,payment_type,quarter,marital_status,state,compra_venta,removed_gps,removed_seguro,has_guarantor,fees_number,monthly_fee,cash_price,score,monthly_income,delinquent_4,max_arrears
model_norm,,0.0,1.0227486122007353e-189,4.871714482913575e-26,1.5095745972656294e-234,0.0003284125186601698,3.1504330100777107e-16,0.0005715859309038713,0.0001144425289345521,2.488151072919571e-07,0.5235552654318041,1.8346565879409504e-07,4.702538233176642e-47,0.0,3.2218629575736704e-12,0.4062404322610192,1.7804804000085311e-07,3.895182294018491e-11
brand_norm,0.0,,3.441554454582737e-20,0.0018499332358261557,5.918863998963e-23,0.059704764305442595,0.0011410238080282716,0.5508920103939116,0.28178214150888725,0.10962501285719978,1.0,0.6687065963776644,4.3749337641914296e-05,3.969494311400486e-06,0.001154371026812826,0.7244453177499928,0.005648197167358319,0.005708393667773198
location,1.0227486122007353e-189,3.441554454582737e-20,,4.2806097477318425e-118,4.4883065156127395e-225,0.34687888347856766,0.0,1.1253755910342076e-06,5.1912162863883735e-09,7.579291293696121e-13,0.013657531531180404,6.435270554317782e-76,1.2885620146055947e-39,2.3195496923843985e-18,6.79142797575696e-17,0.9302261601293741,1.8853706266462066e-18,3.4556152351303777e-28
payment_type,4.871714482913575e-26,0.0018499332358261557,4.2806097477318425e-118,,6.32721293580064e-122,0.435369314049766,2.743362164060564e-29,9.688014689042811e-07,4.913669875460468e-09,4.494075869975284e-15,0.783138703075894,0.0,0.0,0.0016796821431691803,0.0005375059742855167,0.2018114774403732,2.0452365564299983e-10,7.490066208110889e-19
quarter,1.5095745972656294e-234,5.918863998963e-23,4.4883065156127395e-225,6.32721293580064e-122,,6.114879623847777e-09,3.0545016779154936e-53,8.724322134721469e-16,1.2963184959881742e-24,9.479098912119053e-49,0.05869816934448762,0.7373349121695796,3.170234959920572e-09,1.9155953071585643e-16,1.7185436605382093e-27,0.0730328846550699,1.5644317251530378e-27,2.473849983546003e-33
marital_status,0.0003284125186601698,0.059704764305442595,0.34687888347856766,0.435369314049766,6.114879623847777e-09,,0.0017106133173524648,1.0,1.0,1.0,1.0,0.44451967060823644,0.6044254929000418,0.0012853539029633104,0.30495110003328774,0.8383422807596561,0.8676956789410248,0.9720108505868434
state,3.1504330100777107e-16,0.0011410238080282716,0.0,2.743362164060564e-29,3.0545016779154936e-53,0.0017106133173524648,,0.0004946046023451558,0.003166221919620492,3.4444508137993814e-13,0.9747064288281917,1.3181033101679429e-17,4.0143522061141755e-06,3.115229100856918e-05,0.40520386469886666,4.891730924737896e-08,0.06605566247763262,0.7039809844853488
compra_venta,0.0005715859309038713,0.5508920103939116,1.1253755910342076e-06,9.688014689042811e-07,8.724322134721469e-16,1.0,0.0004946046023451558,,0.0,3.93389862033358e-295,1.0,0.32063939519743695,0.37499866405843135,0.003950151853537239,0.0004043634815721685,0.8739841185167526,0.020037365610384893,0.03307962598708018
removed_gps,0.0001144425289345521,0.28178214150888725,5.1912162863883735e-09,4.913669875460468e-09,1.2963184959881742e-24,1.0,0.003166221919620492,0.0,,2.249862699287851e-283,1.0,0.25401177126659735,0.2846157763535945,0.014380395751293185,0.00012447554689840233,0.8684598891883043,0.011731258060477858,0.033945169799479244
removed_seguro,2.488151072919571e-07,0.10962501285719978,7.579291293696121e-13,4.494075869975284e-15,9.479098912119053e-49,1.0,3.4444508137993814e-13,3.93389862033358e-295,2.249862699287851e-283,,1.0,0.00032728287989749506,0.259525680959001,0.020207175141960083,3.499854283731427e-06,0.8429795528173368,2.9652077855873294e-06,0.0003797011000940138
has_guarantor,0.5235552654318041,1.0,0.013657531531180404,0.783138703075894,0.05869816934448762,1.0,0.9747064288281917,1.0,1.0,1.0,,0.26301001556351844,0.4649849723615857,0.1303075861541065,0.33668466104898304,0.906599817337236,0.08304070326775614,0.33559489677351506
fees_number,1.8346565879409504e-07,0.6687065963776644,6.435270554317782e-76,0.0,0.7373349121695796,0.44451967060823644,1.3181033101679429e-17,0.32063939519743695,0.25401177126659735,0.00032728287989749506,0.26301001556351844,,0.0,0.6131412447327104,0.3956946438226159,0.832169111668157,1.5250789611755913e-16,1.792159345461303e-30
monthly_fee,4.702538233176642e-47,4.3749337641914296e-05,1.2885620146055947e-39,0.0,3.170234959920572e-09,0.6044254929000418,4.0143522061141755e-06,0.37499866405843135,0.2846157763535945,0.259525680959001,0.4649849723615857,0.0,,3.201776718196724e-89,0.6978867736320679,0.6363343192263068,7.455290226222079e-17,4.0478608873182615e-23
cash_price,0.0,3.969494311400486e-06,2.3195496923843985e-18,0.0016796821431691803,1.9155953071585643e-16,0.0012853539029633104,3.115229100856918e-05,0.003950151853537239,0.014380395751293185,0.020207175141960083,0.1303075861541065,0.6131412447327104,3.201776718196724e-89,,0.10142055200407617,0.2545085640632454,0.09545145332608078,0.06574640298224958
score,3.2218629575736704e-12,0.001154371026812826,6.79142797575696e-17,0.0005375059742855167,1.7185436605382093e-27,0.30495110003328774,0.40520386469886666,0.0004043634815721685,0.00012447554689840233,3.499854283731427e-06,0.33668466104898304,0.3956946438226159,0.6978867736320679,0.10142055200407617,,0.46350860958684875,0.0,9.6806244e-317
monthly_income,0.4062404322610192,0.7244453177499928,0.9302261601293741,0.2018114774403732,0.0730328846550699,0.8383422807596561,4.891730924737896e-08,0.8739841185167526,0.8684598891883043,0.8429795528173368,0.906599817337236,0.832169111668157,0.6363343192263068,0.2545085640632454,0.46350860958684875,,0.43907799858344015,0.3399069763746022
delinquent_4,1.7804804000085311e-07,0.005648197167358319,1.8853706266462066e-18,2.0452365564299983e-10,1.5644317251530378e-27,0.8676956789410248,0.06605566247763262,0.020037365610384893,0.011731258060477858,2.9652077855873294e-06,0.08304070326775614,1.5250789611755913e-16,7.455290226222079e-17,0.09545145332608078,0.0,0.43907799858344015,,3.5754040322859425e-305
max_arrears,3.895182294018491e-11,0.005708393667773198,3.4556152351303777e-28,7.490066208110889e-19,2.473849983546003e-33,0.9720108505868434,0.7039809844853488,0.03307962598708018,0.033945169799479244,0.0003797011000940138,0.33559489677351506,1.792159345461303e-30,4.0478608873182615e-23,0.06574640298224958,9.6806244e-317,0.3399069763746022,3.5754040322859425e-305,
