model_norm,brand_norm,n_leases,pct_ever_delinquent,pct_severe,avg_negative_events,avg_cash_price,avg_fees_number,avg_customer_score
HORSE RAYAS LOCAS,EMPIRE,89,70.8,4.5,2.3146067415730336,1726.0,31.280898876404493,0.6521348314606742
RK 250,EMPIRE,20,65.0,0.0,1.25,2446.0,32.4,0.7605000000000001
EK XPRESS DE RAYO,EMPIRE,77,64.9,6.5,2.012987012987013,1396.0,27.74025974025974,0.607012987012987
NEW HORSE,EMPIRE,373,62.7,6.7,1.4852546916890081,1676.0,31.882037533512065,0.6747184986595174
EK XPRESS DE PALETA,EMPIRE,456,55.9,5.7,1.5416666666666667,1476.0,27.75,0.6690789473684211
TX 150,EMPIRE,65,55.4,4.6,1.3692307692307693,2016.0,23.307692307692307,0.6479999999999999
OWEN 200,EMPIRE KEEWAY,31,54.8,0.0,0.967741935483871,1736.0,29.032258064516128,0.8325806451612903
EK XPRESS 200,EMPIRE,297,54.5,0.3,1.02020202020202,1480.0,28.282828282828284,0.784074074074074
NEW OUTLOOK II,EMPIRE,41,53.7,0.0,1.6829268292682926,2871.0,27.51219512195122,0.7190243902439024
NEW OWEN,EMPIRE,269,53.2,5.2,1.661710037174721,1576.0,30.28996282527881,0.692081784386617
RK 200,EMPIRE,537,50.1,4.7,1.415270018621974,2086.0,30.38175046554935,0.7250279329608939
TX 250 GS,EMPIRE KEEWAY,24,50.0,0.0,1.625,3160.0,28.0,0.7341666666666667
MATRIX 150,EMPIRE,79,49.4,5.1,1.5569620253164558,1712.4430379746836,26.696202531645568,0.690379746835443
XPRESS LITE,EMPIRE KEEWAY,16,31.2,0.0,0.5,1166.0,35.625,0.81625
