model_norm,brand_norm,n_leases,pct_delinquent_4,avg_max_arrears,avg_customer_score
EK XPRESS DE PALETA,EMPIRE,456,40.6,4.75,0.6690789473684211
EK XPRESS DE RAYO,EMPIRE,77,40.3,4.84,0.607012987012987
HORSE RAYAS LOCAS,EMPIRE,89,39.3,4.48,0.6521348314606742
NEW HORSE,EMPIRE,373,38.1,4.7,0.6747184986595174
MATRIX 150,EMPIRE,79,35.4,4.84,0.690379746835443
TX 150,EMPIRE,65,35.4,4.52,0.6479999999999999
RK 200,EMPIRE,537,33.3,3.48,0.7250279329608939
NEW OWEN,EMPIRE,269,33.1,4.21,0.692081784386617
RK 250,EMPIRE,20,25.0,3.2,0.7605000000000001
NEW OUTLOOK II,EMPIRE,41,24.4,3.0,0.7190243902439024
TX 250 GS,EMPIRE KEEWAY,24,20.8,2.04,0.7341666666666667
OWEN 200,EMPIRE KEEWAY,31,19.4,2.1,0.8325806451612903
EK XPRESS 200,EMPIRE,297,17.8,1.81,0.784074074074074
XPRESS LITE,EMPIRE KEEWAY,16,12.5,1.19,0.81625
