brand_norm,product_name,bike_years,n_events,freq_per_100_bikeyears
EMPIRE KEEWAY,EK XPRESS DE RAYO,75.62,7.0,9.26
EMPIRE KEEWAY,HORSE RAYAS LOCAS,98.94,2.0,2.02
EMPIRE KEEWAY,NEW OWEN,313.88,6.0,1.91
EMPIRE KEEWAY,EK XPRESS DE PALETA,539.03,10.0,1.86
EMPIRE KEEWAY,NEW HORSE,397.94,5.0,1.26
EMPIRE KEEWAY,MATRIX 150,82.87,1.0,1.21
EMPIRE KEEWAY,RK 200,516.82,6.0,1.16
EMPIRE KEEWAY,EK XPRESS 200,151.75,0.0,0.0
EMPIRE KEEWAY,EK Express Paleta,5.16,0.0,0.0
EMPIRE KEEWAY,ATLAS,6.29,0.0,0.0
EMPIRE KEEWAY,NEW OUTLOOK II,36.91,0.0,0.0
EMPIRE KEEWAY,OWEN 200,23.78,0.0,0.0
EMPIRE KEEWAY,RK 250,15.67,0.0,0.0
EMPIRE KEEWAY,THUNDER,6.41,0.0,0.0
EMPIRE KEEWAY,TX 150,64.29,0.0,0.0
EMPIRE KEEWAY,TX 250 GS,10.62,0.0,0.0
