target,factor,assoc,p
delinquent_4,quarter,0.23954234872260796,1.5644317251530378e-27
delinquent_4,location,0.21118767406683348,1.8853706266462066e-18
delinquent_4,fees_number,0.16684389015257808,1.5250789611755913e-16
delinquent_4,state,0.16020838004801502,0.06605566247763262
delinquent_4,model_norm,0.15811597521247506,1.7804804000085311e-07
delinquent_4,payment_type,0.1353582654856048,2.0452365564299983e-10
delinquent_4,removed_seguro,0.09490965311302363,2.9652077855873294e-06
delinquent_4,brand_norm,0.05628409643032563,0.005648197167358319
delinquent_4,removed_gps,0.051264068937359304,0.011731258060477858
delinquent_4,compra_venta,0.04731261465830387,0.020037365610384893
delinquent_4,has_guarantor,0.03527095947085417,0.08304070326775614
delinquent_4,marital_status,0.003408224244040403,0.8676956789410248
delinquent_4,monthly_income,-0.02321578840819154,0.43907799858344015
delinquent_4,cash_price,-0.03392886921518751,0.09545145332608078
delinquent_4,monthly_fee,-0.16853859873982224,7.455290226222079e-17
delinquent_4,score,-0.728190700860357,0.0
max_arrears,quarter,0.2609740862614565,2.473849983546003e-33
max_arrears,location,0.2521065195694426,3.4556152351303777e-28
max_arrears,fees_number,0.23039749119527217,1.792159345461303e-30
max_arrears,payment_type,0.18439297559606926,7.490066208110889e-19
max_arrears,model_norm,0.1829159287791205,3.895182294018491e-11
max_arrears,state,0.11357035063098168,0.7039809844853488
max_arrears,removed_seguro,0.07224403180609609,0.0003797011000940138
max_arrears,brand_norm,0.056241991922494426,0.005708393667773198
max_arrears,compra_venta,0.04335897940120637,0.03307962598708018
max_arrears,removed_gps,0.04314772184907863,0.033945169799479244
max_arrears,has_guarantor,0.01959829758141042,0.33559489677351506
max_arrears,marital_status,0.0010024773641247526,0.9720108505868434
max_arrears,monthly_income,-0.02863247591587076,0.3399069763746022
max_arrears,cash_price,-0.037443544746859736,0.06574640298224958
max_arrears,monthly_fee,-0.19954346637742948,4.0478608873182615e-23
max_arrears,score,-0.6716129787492824,9.6806244e-317
